Rank,Prev_rank,Rider_name,Team_name,UCI_points,Points,Time,Year
70,70,ALBASINI Michael,Orica GreenEDGE,,25,3:05:513:05:51,2014
71,71,BÁRTA Jan,Team NetApp – Endura,,25,3:07:183:07:18,2014
72,72,MACHADO Tiago,Team NetApp – Endura,,25,3:08:033:08:03,2014
73,73,REZA Kévin,Team Europcar,,25,3:08:123:08:12,2014
74,74,VANSUMMEREN Johan,Garmin Sharp,,25,3:08:403:08:40,2014
75,75,ELMIGER Martin,IAM Cycling,,25,3:12:103:12:10,2014
76,76,LADAGNOUS Matthieu,FDJ.fr ,,25,3:14:413:14:41,2014
77,77,EDET Nicolas,"Cofidis, Solutions Crédits",,25,3:19:343:19:34,2014
78,78,DELAPLACE Anthony,Bretagne - Séché Environnement,,25,3:20:483:20:48,2014
79,79,WESTRA Lieuwe,Astana Pro Team,,25,3:21:043:21:04,2014
80,80,MARCATO Marco,Cannondale ,,25,3:21:163:21:16,2014
81,83,ERVITI Imanol,Movistar Team,,25,3:22:483:22:48,2014
82,81,BAK Lars Ytting,Lotto Belisol ,,25,3:23:413:23:41,2014
83,84,QUÉMÉNEUR Perrig,Team Europcar,,25,3:25:463:25:46,2014
84,82,KADRI Blel,AG2R La Mondiale,,25,3:26:233:26:23,2014
85,86,REICHENBACH Sébastien,IAM Cycling,,25,3:27:523:27:52,2014
86,85,KIRYIENKA Vasil,Team Sky,,25,3:30:233:30:23,2014
87,87,OLIVEIRA Nelson,Lampre - Merida,,25,3:30:363:30:36,2014
88,88,TAARAMÄE Rein,"Cofidis, Solutions Crédits",,25,3:35:013:35:01,2014
89,89,PAULINHO Sérgio Miguel,Tinkoff - Saxo,,25,3:36:333:36:33,2014
90,90,DUMOULIN Samuel,AG2R La Mondiale,,25,3:38:043:38:04,2014
91,91,PLAZA Rubén,Movistar Team,,25,3:38:273:38:27,2014
92,93,DE KORT Koen,Team Giant - Shimano,,25,3:38:523:38:52,2014
93,94,TRENTIN Matteo,Omega Pharma - Quick-Step,,25,3:38:563:38:56,2014
94,92,TERPSTRA Niki,Omega Pharma - Quick-Step,,25,3:39:043:39:04,2014
95,95,GRIVKO Andrey,Astana Pro Team,,25,3:39:283:39:28,2014
96,96,BENNATI Daniele,Tinkoff - Saxo,,25,3:40:463:40:46,2014
97,97,BOOM Lars,Belkin-Pro Cycling Team,,25,3:41:243:41:24,2014
98,98,BUSCHE Matthew,Trek Factory Racing ,,25,3:41:583:41:58,2014
99,100,MINARD Sébastien,AG2R La Mondiale,,25,3:42:233:42:23,2014
100,101,SMUKULIS Gatis,Team Katusha ,,25,3:43:253:43:25,2014
101,102,RAST Grégory,Trek Factory Racing ,,25,3:43:373:43:37,2014
102,103,PINEAU Cédric,FDJ.fr ,,25,3:44:223:44:22,2014
103,104,VACHON Florian,Bretagne - Séché Environnement,,25,3:44:403:44:40,2014
104,105,COQUARD Bryan,Team Europcar,,25,3:44:453:44:45,2014
105,106,LÓPEZ David,Team Sky,,25,3:45:133:45:13,2014
106,108,VANMARCKE Sep,Belkin-Pro Cycling Team,,25,3:45:543:45:54,2014
107,99,PICHOT Alexandre,Team Europcar,,25,3:46:353:46:35,2014
108,109,VOIGT Jens,Trek Factory Racing ,,25,3:46:373:46:37,2014
109,110,SIMON Julien,"Cofidis, Solutions Crédits",,25,3:46:563:46:56,2014
110,107,LEMOINE Cyril,"Cofidis, Solutions Crédits",,25,3:47:163:47:16,2014
111,111,ROELANDTS Jürgen,Lotto Belisol ,,25,3:52:393:52:39,2014
112,112,BODNAR Maciej,Cannondale ,,25,3:52:523:52:52,2014
113,113,CLARKE Simon,Orica GreenEDGE,,25,3:55:383:55:38,2014
114,114,INTXAUSTI Beñat,Movistar Team,,25,3:55:533:55:53,2014
115,116,BIDEAU Jean-Marc,Bretagne - Séché Environnement,,25,3:58:083:58:08,2014
116,115,CURVERS Roy,Team Giant - Shimano,,25,3:58:233:58:23,2014
117,117,WYNANTS Maarten,Belkin-Pro Cycling Team,,25,4:01:094:01:09,2014
118,118,SABATINI Fabio,Cannondale ,,25,4:01:214:01:21,2014
119,119,TOSATTO Matteo,Tinkoff - Saxo,,25,4:01:534:01:53,2014
120,120,RIBLON Christophe,AG2R La Mondiale,,25,4:04:004:04:00,2014
121,121,MEIER Christian,Orica GreenEDGE,,25,4:05:134:05:13,2014
122,122,DURBRIDGE Luke,Orica GreenEDGE,,25,4:05:594:05:59,2014
123,123,DEGENKOLB John,Team Giant - Shimano,,25,4:06:424:06:42,2014
124,124,MENDES José,Team NetApp – Endura,,25,4:07:344:07:34,2014
125,125,KRISTOFF Alexander,Team Katusha ,,25,4:11:464:11:46,2014
126,126,EISEL Bernhard,Team Sky,,25,4:13:214:13:21,2014
127,127,HOWES Alex,Garmin Sharp,,25,4:18:434:18:43,2014
128,128,GÈNE Yohann,Team Europcar,,25,4:19:114:19:11,2014
129,129,IGLINSKIY Maxim,Astana Pro Team,,25,4:22:074:22:07,2014
130,131,GRUZDEV Dmitriy,Astana Pro Team,,25,4:22:334:22:33,2014
131,130,TUFT Svein,Orica GreenEDGE,,25,4:22:524:22:52,2014
132,132,GÉRARD Arnaud,Bretagne - Séché Environnement,,25,4:24:154:24:15,2014
133,133,LEEZER Tom,Belkin-Pro Cycling Team,,25,4:24:214:24:21,2014
134,134,MØRKØV Michael,Tinkoff - Saxo,,25,4:26:294:26:29,2014
135,136,KOREN Kristijan,Cannondale ,,25,4:29:144:29:14,2014
136,135,PAOLINI Luca,Team Katusha ,,25,4:29:434:29:43,2014
137,137,BAUER Jack,Garmin Sharp,,25,4:29:574:29:57,2014
138,138,FONSECA Armindo,Bretagne - Séché Environnement,,25,4:30:524:30:52,2014
139,139,KLUGE Roger,IAM Cycling,,25,4:33:454:33:45,2014
140,140,LANGEVELD Sebastian,Garmin Sharp,,25,4:34:294:34:29,2014
141,141,NAVARDAUSKAS Ramūnas,Garmin Sharp,,25,4:37:424:37:42,2014
142,142,RENSHAW Mark,Omega Pharma - Quick-Step,,25,4:39:034:39:03,2014
143,143,DELAGE Mickaël,FDJ.fr ,,25,4:39:404:39:40,2014
144,144,SCHILLINGER Andreas,Team NetApp – Endura,,25,4:40:064:40:06,2014
145,145,SIEBERG Marcel,Lotto Belisol ,,25,4:41:214:41:21,2014
146,146,TIMMER Albert,Team Giant - Shimano,,25,4:42:284:42:28,2014
147,147,VANOTTI Alessandro,Astana Pro Team,,25,4:42:484:42:48,2014
148,149,PETACCHI Alessandro,Omega Pharma - Quick-Step,,25,4:44:474:44:47,2014
149,150,GREIPEL André,Lotto Belisol ,,25,4:44:544:44:54,2014
150,151,FEILLU Romain,Bretagne - Séché Environnement,,25,4:45:044:45:04,2014
151,148,DEMPSTER Zak,Team NetApp – Endura,,25,",,4:45:04",2014
152,152,JARRIER Benoît,Bretagne - Séché Environnement,,25,4:46:284:46:28,2014
153,153,PATE Danny,Team Sky,,25,4:47:524:47:52,2014
154,154,BURGHARDT Marcus,BMC Racing Team,,25,4:48:404:48:40,2014
155,155,VEELERS Tom,Team Giant - Shimano,,25,4:53:234:53:23,2014
156,157,PETIT Adrien,"Cofidis, Solutions Crédits",,25,4:58:204:58:20,2014
157,156,ISAYCHEV Vladimir,Team Katusha ,,25,4:58:304:58:30,2014
158,158,BONNET William,FDJ.fr ,,25,4:59:574:59:57,2014
159,159,DÉMARE Arnaud,FDJ.fr ,,25,5:00:295:00:29,2014
160,160,MARINO Jean-Marc,Cannondale ,,25,5:03:465:03:46,2014
161,161,KITTEL Marcel,Team Giant - Shimano,,25,5:06:275:06:27,2014
162,162,VIVIANI Elia,Cannondale ,,25,5:10:405:10:40,2014
163,163,CIMOLAI Davide,Lampre - Merida,,25,5:11:585:11:58,2014
164,164,JI Cheng,Team Giant - Shimano,,25,6:02:246:02:24,2014
1,1,FROOME Chris,Sky Procycling,200,500,83:56:40,2013
2,2,QUINTANA Nairo,Movistar Team,150,380,4:204:20,2013
3,3,RODRÍGUEZ Joaquim,Team Katusha ,120,340,5:045:04,2013
4,4,CONTADOR Alberto,Team Saxo - Tinkoff,110,300,6:276:27,2013
5,5,KREUZIGER Roman,Team Saxo - Tinkoff,100,280,7:277:27,2013
6,6,MOLLEMA Bauke,Belkin-Pro Cycling Team,90,260,11:4211:42,2013
7,7,FUGLSANG Jakob,Astana Pro Team,80,240,12:1712:17,2013
8,8,VALVERDE Alejandro,Movistar Team,70,220,15:2615:26,2013
9,9,NAVARRO Daniel,"Cofidis, Solutions Crédits",60,210,15:5215:52,2013
10,10,TALANSKY Andrew,Garmin Sharp,50,200,17:3917:39,2013
11,11,KWIATKOWSKI Michał,Omega Pharma - Quick-Step,40,190,18:5918:59,2013
12,12,NIEVE Mikel,Euskaltel - Euskadi,30,180,20:0120:01,2013
13,13,TEN DAM Laurens,Belkin-Pro Cycling Team,24,170,21:3921:39,2013
14,14,MONFORT Maxime,RadioShack - Leopard,20,160,23:3823:38,2013
15,15,BARDET Romain,AG2R La Mondiale,16,150,26:4226:42,2013
16,16,ROGERS Michael,Team Saxo - Tinkoff,12,140,26:5126:51,2013
17,17,MORENO Daniel,Team Katusha ,10,130,32:3432:34,2013
18,18,BAKELANTS Jan,RadioShack - Leopard,8,120,35:5135:51,2013
19,19,PORTE Richie,Sky Procycling,6,110,39:4139:41,2013
20,20,SCHLECK Andy,RadioShack - Leopard,4,100,41:4641:46,2013
21,21,SERPA José Rodolfo,Lampre - Merida,,95,45:0845:08,2013
22,22,GADRET John,AG2R La Mondiale,,90,46:0046:00,2013
23,23,ANTÓN Igor,Euskaltel - Euskadi,,85,48:0748:07,2013
24,24,ROLLAND Pierre,Team Europcar,,80,52:1552:15,2013
25,25,VELITS Peter,Omega Pharma - Quick-Step,,75,54:0054:00,2013
26,26,GESINK Robert,Belkin-Pro Cycling Team,,70,54:2554:25,2013
27,27,COSTA Rui,Movistar Team,,65,54:3454:34,2013
28,28,POELS Wout,Vacansoleil - DCM,,60,56:3356:33,2013
29,29,JEANNESSON Arnold,FDJ.fr ,,55,57:0657:06,2013
30,30,KLÖDEN Andreas,RadioShack - Leopard,,50,1:02:431:02:43,2013
31,31,CHAVANEL Sylvain,Omega Pharma - Quick-Step,,45,1:03:411:03:41,2013
32,32,GAUTIER Cyril,Team Europcar,,40,1:12:421:12:42,2013
33,33,MARTIN Dan,Garmin Sharp,,35,1:13:081:13:08,2013
34,34,DUPONT Hubert,AG2R La Mondiale,,30,1:14:591:14:59,2013
35,35,MORABITO Steve,BMC Racing Team,,25,1:20:391:20:39,2013
36,36,ZUBELDIA Haimar,RadioShack - Leopard,,25,1:24:221:24:22,2013
37,37,RIBLON Christophe,AG2R La Mondiale,,25,1:27:571:27:57,2013
38,38,DE CLERCQ Bart,Lotto Belisol Team,,25,1:28:061:28:06,2013
39,39,EVANS Cadel,BMC Racing Team,,25,1:30:141:30:14,2013
40,41,ROCHE Nicolas,Team Saxo - Tinkoff,,25,1:34:171:34:17,2013
41,42,DUMOULIN Tom,Team Argos - Shimano,,25,1:34:301:34:30,2013
42,43,ASTARLOZA Mikel,Euskaltel - Euskadi,,25,1:36:271:36:27,2013
43,40,HERNÁNDEZ BLÁZQUEZ Jesús,Team Saxo - Tinkoff,,25,1:36:401:36:40,2013
44,45,GENIEZ Alexandre,FDJ.fr ,,25,1:38:061:38:06,2013
45,44,VAN GARDEREN Tejay,BMC Racing Team,,25,1:38:571:38:57,2013
46,46,VUILLERMOZ Alexis,Sojasun,,25,1:40:051:40:05,2013
47,47,PLAZA Rubén,Movistar Team,,25,1:40:351:40:35,2013
48,48,VORGANOV Eduard,Team Katusha ,,25,1:42:411:42:41,2013
49,49,MALACARNE Davide,Team Europcar,,25,1:44:501:44:50,2013
50,50,NORDHAUG Lars Petter,Belkin-Pro Cycling Team,,25,1:49:421:49:42,2013
51,51,TROFIMOV Yuri,Team Katusha ,,25,1:49:541:49:54,2013
52,52,MÉDEREL Maxime,Sojasun,,25,1:53:011:53:01,2013
53,53,DIDIER Laurent,RadioShack - Leopard,,25,1:58:531:58:53,2013
54,54,AMADOR Andrey,Movistar Team,,25,1:58:591:58:59,2013
55,55,CUNEGO Damiano,Lampre - Merida,,25,1:59:381:59:38,2013
56,56,MOINARD Amaël,BMC Racing Team,,25,2:00:032:00:03,2013
57,57,NIEMIEC Przemysław,Lampre - Merida,,25,2:00:282:00:28,2013
58,58,GALLOPIN Tony,RadioShack - Leopard,,25,2:02:592:02:59,2013
59,59,FÉDRIGO Pierrick,FDJ.fr ,,25,2:04:192:04:19,2013
60,60,DANIELSON Tom,Garmin Sharp,,25,2:05:282:05:28,2013
61,61,LEVARLET Guillaume,"Cofidis, Solutions Crédits",,25,2:07:012:07:01,2013
62,62,GILBERT Philippe,BMC Racing Team,,25,2:07:112:07:11,2013
63,63,COPPEL Jérôme,"Cofidis, Solutions Crédits",,25,2:09:132:09:13,2013
64,64,TANKINK Bram,Belkin-Pro Cycling Team,,25,2:10:122:10:12,2013
65,65,VOECKLER Thomas,Team Europcar,,25,2:12:482:12:48,2013
66,66,VICHOT Arthur,FDJ.fr ,,25,2:15:062:15:06,2013
67,67,VOIGT Jens,RadioShack - Leopard,,25,2:15:092:15:09,2013
68,68,CLARKE Simon,Orica GreenEDGE,,25,2:20:142:20:14,2013
69,70,IZAGIRRE Ion,Euskaltel - Euskadi,,25,2:21:322:21:32,2013
70,69,HESJEDAL Ryder,Garmin Sharp,,25,2:21:412:21:41,2013
71,71,DE MARCHI Alessandro,Cannondale Pro Cycling Team,,25,2:23:112:23:11,2013
72,72,HANSEN Adam,Lotto Belisol Team,,25,2:23:152:23:15,2013
73,74,MOLARD Rudy,"Cofidis, Solutions Crédits",,25,2:25:252:25:25,2013
74,75,IMPEY Daryl,Orica GreenEDGE,,25,2:26:372:26:37,2013
75,73,GESCHKE Simon,Team Argos - Shimano,,25,2:27:422:27:42,2013
76,76,MORI Manuele,Lampre - Merida,,25,2:28:192:28:19,2013
77,77,KENNAUGH Peter,Sky Procycling,,25,2:33:462:33:46,2013
78,78,OROZ Juan José,Euskaltel - Euskadi,,25,2:33:552:33:55,2013
79,79,ROJAS José Joaquín,Movistar Team,,25,2:34:052:34:05,2013
80,80,GERRANS Simon,Orica GreenEDGE,,25,2:34:362:34:36,2013
81,81,EL FARES Julien,Sojasun,,25,2:36:282:36:28,2013
82,84,SAGAN Peter,Cannondale Pro Cycling Team,,25,2:38:512:38:51,2013
83,82,LAGUTIN Sergey,Vacansoleil - DCM,,25,2:38:552:38:55,2013
84,83,GAVAZZI Francesco,Astana Pro Team,,25,2:39:082:39:08,2013
85,85,QUINZIATO Manuel,BMC Racing Team,,25,2:39:342:39:34,2013
86,86,ALBASINI Michael,Orica GreenEDGE,,25,2:40:222:40:22,2013
87,87,SIMON Julien,Sojasun,,25,2:41:242:41:24,2013
88,88,MATÉ Luis Ángel,"Cofidis, Solutions Crédits",,25,2:43:282:43:28,2013
89,90,DELAPLACE Anthony,Sojasun,,25,2:44:132:44:13,2013
90,89,SIUTSOU Kanstantsin,Sky Procycling,,25,2:44:432:44:43,2013
91,91,BOOKWALTER Brent,BMC Racing Team,,25,2:45:052:45:05,2013
92,92,TOSATTO Matteo,Team Saxo - Tinkoff,,25,2:47:392:47:39,2013
93,93,FLECHA Juan Antonio,Vacansoleil - DCM,,25,2:48:032:48:03,2013
94,97,MOSER Moreno,Cannondale Pro Cycling Team,,25,2:53:272:53:27,2013
95,98,GASPAROTTO Enrico,Astana Pro Team,,25,2:53:362:53:36,2013
96,96,DE GENDT Thomas,Vacansoleil - DCM,,25,2:53:412:53:41,2013
97,95,CASTROVIEJO Jonathan,Movistar Team,,25,",,2:53:41",2013
98,94,BURGHARDT Marcus,BMC Racing Team,,25,2:54:012:54:01,2013
99,99,ARASHIRO Yukiya,Team Europcar,,25,2:54:532:54:53,2013
100,100,KOREN Kristijan,Cannondale Pro Cycling Team,,25,2:57:032:57:03,2013
101,101,HOOGERLAND Johnny,Vacansoleil - DCM,,25,2:57:592:57:59,2013
102,102,TAARAMÄE Rein,"Cofidis, Solutions Crédits",,25,2:59:092:59:09,2013
103,104,IRIZAR Markel,RadioShack - Leopard,,25,2:59:392:59:39,2013
104,103,FEILLU Brice,Sojasun,,25,2:59:452:59:45,2013
105,105,BOOM Lars,Belkin-Pro Cycling Team,,25,3:02:523:02:52,2013
106,106,MARTIN Tony,Omega Pharma - Quick-Step,,25,3:05:253:05:25,2013
107,107,BENNATI Daniele,Team Saxo - Tinkoff,,25,3:05:553:05:55,2013
108,109,BAK Lars Ytting,Lotto Belisol Team,,25,3:07:123:07:12,2013
109,108,LOSADA Alberto,Team Katusha ,,25,3:07:263:07:26,2013
110,111,BRUTT Pavel,Team Katusha ,,25,3:09:473:09:47,2013
111,110,MARANGONI Alan,Cannondale Pro Cycling Team,,25,3:10:013:10:01,2013
112,113,LEMOINE Cyril,Sojasun,,25,3:11:383:11:38,2013
113,112,MILLAR David,Garmin Sharp,,25,3:14:253:14:25,2013
114,115,BODNAR Maciej,Cannondale Pro Cycling Team,,25,3:15:153:15:15,2013
115,116,GARCÍA Egoitz,"Cofidis, Solutions Crédits",,25,3:16:283:16:28,2013
116,114,MARINO Jean-Marc,Sojasun,,25,3:16:303:16:30,2013
117,117,SABATINI Fabio,Cannondale Pro Cycling Team,,25,3:18:403:18:40,2013
118,118,ERVITI Imanol,Movistar Team,,25,3:19:123:19:12,2013
119,119,SMUKULIS Gatis,Team Katusha ,,25,3:21:063:21:06,2013
120,120,NAVARDAUSKAS Ramūnas,Garmin Sharp,,25,3:21:293:21:29,2013
121,121,DEGENKOLB John,Team Argos - Shimano,,25,3:23:233:23:23,2013
122,123,SICARD Romain,Euskaltel - Euskadi,,25,3:23:543:23:54,2013
123,122,VEILLEUX David,Team Europcar,,25,3:24:163:24:16,2013
124,124,MINARD Sébastien,AG2R La Mondiale,,25,3:24:283:24:28,2013
125,126,KADRI Blel,AG2R La Mondiale,,25,3:27:173:27:17,2013
126,125,ROY Jérémy,FDJ.fr ,,25,3:28:393:28:39,2013
127,127,LÓPEZ David,Sky Procycling,,25,3:28:473:28:47,2013
128,128,FAVILLI Elia,Lampre - Merida,,25,3:31:193:31:19,2013
129,130,GREIPEL André,Lotto Belisol Team,,25,3:32:073:32:07,2013
130,129,MEYER Cameron,Orica GreenEDGE,,25,3:32:143:32:14,2013
131,131,VANMARCKE Sep,Belkin-Pro Cycling Team,,25,3:34:333:34:33,2013
132,132,WYNANTS Maarten,Belkin-Pro Cycling Team,,25,3:37:063:37:06,2013
133,133,FISCHER Murilo Antonio,FDJ.fr ,,25,3:37:483:37:48,2013
134,135,REZA Kévin,Team Europcar,,25,3:38:313:38:31,2013
135,134,STANNARD Ian,Sky Procycling,,25,3:38:493:38:49,2013
136,136,PAULINHO Sérgio Miguel,Team Saxo - Tinkoff,,25,3:38:583:38:58,2013
137,137,CIMOLAI Davide,Lampre - Merida,,25,3:40:313:40:31,2013
138,138,DE KORT Koen,Team Argos - Shimano,,25,3:40:553:40:55,2013
139,140,PÉREZ Rubén,Euskaltel - Euskadi,,25,3:43:153:43:15,2013
140,139,THOMAS Geraint,Sky Procycling,,25,3:43:343:43:34,2013
141,141,KUSCHYNSKI Aleksandr,Team Katusha ,,25,3:45:023:45:02,2013
142,142,TRENTIN Matteo,Omega Pharma - Quick-Step,,25,3:45:303:45:30,2013
143,144,DUMOULIN Samuel,AG2R La Mondiale,,25,3:47:113:47:11,2013
144,145,VAN POPPEL Boy,Vacansoleil - DCM,,25,3:48:153:48:15,2013
145,147,CURVERS Roy,Team Argos - Shimano,,25,3:48:303:48:30,2013
146,143,FRÖHLINGER Johannes,Team Argos - Shimano,,25,3:49:023:49:02,2013
147,148,KRISTOFF Alexander,Team Katusha ,,25,3:49:503:49:50,2013
148,150,CAVENDISH Mark,Omega Pharma - Quick-Step,,25,3:52:043:52:04,2013
149,149,TERPSTRA Niki,Omega Pharma - Quick-Step,,25,3:52:053:52:05,2013
150,151,LEEZER Tom,Belkin-Pro Cycling Team,,25,3:53:553:53:55,2013
151,152,HIVERT Jonathan,Sojasun,,25,3:57:093:57:09,2013
152,153,GOSS Matthew,Orica GreenEDGE,,25,3:57:243:57:24,2013
153,154,STEEGMANS Gert,Omega Pharma - Quick-Step,,25,3:59:143:59:14,2013
154,157,LANCASTER Brett,Orica GreenEDGE,,25,4:00:194:00:19,2013
155,155,VANDBORG Brian Bach,Cannondale Pro Cycling Team,,25,4:00:214:00:21,2013
156,156,COUSIN Jérôme,Team Europcar,,25,4:01:104:01:10,2013
157,160,FERRARI Roberto,Lampre - Merida,,25,4:02:094:02:09,2013
158,161,GÈNE Yohann,Team Europcar,,25,4:03:064:03:06,2013
159,159,PINEAU Jérôme,Omega Pharma - Quick-Step,,25,4:03:114:03:11,2013
160,158,ROELANDTS Jürgen,Lotto Belisol Team,,25,4:03:184:03:18,2013
161,162,O'GRADY Stuart,Orica GreenEDGE,,25,4:03:274:03:27,2013
162,163,HENDERSON Gregory,Lotto Belisol Team,,25,4:04:264:04:26,2013
163,164,WILLEMS Frederik,Lotto Belisol Team,,25,4:05:184:05:18,2013
164,165,TIMMER Albert,Team Argos - Shimano,,25,4:07:194:07:19,2013
165,166,LOBATO Juan José,Euskaltel - Euskadi,,25,4:07:594:07:59,2013
166,167,KITTEL Marcel,Team Argos - Shimano,,25,4:10:084:10:08,2013
167,168,MURAVYEV Dmitriy,Astana Pro Team,,25,4:21:464:21:46,2013
168,169,BAZAYEV Assan,Astana Pro Team,,25,4:24:524:24:52,2013
169,170,TUFT Svein,Orica GreenEDGE,,25,4:27:554:27:55,2013
1,1,WIGGINS Bradley,Sky Procycling,200,500,87:34:47,2012
2,2,FROOME Chris,Sky Procycling,150,380,3:213:21,2012
3,3,NIBALI Vincenzo,Liquigas - Cannondale,120,340,6:196:19,2012
4,4,VAN DEN BROECK Jurgen,Lotto Belisol Team,110,300,10:1510:15,2012
5,5,VAN GARDEREN Tejay,BMC Racing Team,100,280,11:0411:04,2012
6,6,ZUBELDIA Haimar,RadioShack - Nissan,90,260,15:4115:41,2012
7,7,EVANS Cadel,BMC Racing Team,80,240,15:4915:49,2012
8,8,ROLLAND Pierre,Team Europcar,70,220,16:2616:26,2012
9,9,BRAJKOVIČ Janez,Astana Pro Team,60,210,16:3316:33,2012
10,10,PINOT Thibaut,FDJ - BigMat,50,200,17:1717:17,2012
11,11,KLÖDEN Andreas,RadioShack - Nissan,40,190,17:5417:54,2012
12,12,ROCHE Nicolas,AG2R La Mondiale,30,180,19:3319:33,2012
13,13,HORNER Chris,RadioShack - Nissan,24,170,19:5519:55,2012
14,14,SØRENSEN Chris Anker,Team Saxo Bank - Tinkoff Bank,20,160,25:2725:27,2012
 15 ,15,MENCHOV Denis,Team Katusha ,,,27:2227:22,2012
16,16,MONFORT Maxime,RadioShack - Nissan,12,140,28:3028:30,2012
17,17,MARTÍNEZ Egoi,Euskaltel - Euskadi,10,130,31:4631:46,2012
18,18,COSTA Rui,Movistar Team,8,120,37:0337:03,2012
19,19,VORGANOV Eduard,Team Katusha ,6,110,38:1638:16,2012
20,20,VALVERDE Alejandro,Movistar Team,4,100,42:2642:26,2012
21,21,COPPEL Jérôme,Saur - Sojasun,,95,45:4345:43,2012
22,22,CASAR Sandy,FDJ - BigMat,,90,46:5246:52,2012
23,23,ROGERS Michael,Sky Procycling,,85,54:5254:52,2012
24,24,SCARPONI Michele,Lampre - ISD,,80,58:3758:37,2012
25,25,BASSO Ivan,Liquigas - Cannondale,,75,59:4459:44,2012
26,26,VOECKLER Thomas,Team Europcar,,70,1:04:411:04:41,2012
27,27,VELITS Peter,Omega Pharma - Quick-Step,,65,1:05:101:05:10,2012
28,28,TEN DAM Laurens,Rabobank Cycling Team,,60,1:05:391:05:39,2012
29,29,VANENDERT Jelle,Lotto Belisol Team,,55,1:08:261:08:26,2012
30,30,COBO Juan José,Movistar Team,,50,1:09:191:09:19,2012
31,31,VINOKOUROV Alexandre,Astana Pro Team,,45,1:15:211:15:21,2012
32,32,LEIPHEIMER Levi,Omega Pharma - Quick-Step,,40,1:16:291:16:29,2012
33,33,KRUIJSWIJK Steven,Rabobank Cycling Team,,35,1:16:521:16:52,2012
34,34,PORTE Richie,Sky Procycling,,30,1:20:491:20:49,2012
35,35,MARTIN Dan,Garmin Sharp,,25,1:25:231:25:23,2012
36,36,TAARAMÄE Rein,"Cofidis, le Crédit en Ligne",,25,1:27:521:27:52,2012
 37 ,37,CARUSO Giampaolo,Team Katusha ,,,1:28:321:28:32,2012
38,38,HINCAPIE George,BMC Racing Team,,25,1:30:381:30:38,2012
39,39,IZAGIRRE Gorka,Euskaltel - Euskadi,,25,1:32:191:32:19,2012
40,40,KESSIAKOFF Fredrik,Astana Pro Team,,25,1:34:331:34:33,2012
41,41,VALLS Rafael,Vacansoleil - DCM,,25,1:37:571:37:57,2012
42,43,SAGAN Peter,Liquigas - Cannondale,,25,1:38:371:38:37,2012
43,42,GRIVKO Andrey,Astana Pro Team,,25,1:38:411:38:41,2012
44,44,PERAUD Jean-Christophe,AG2R La Mondiale,,25,1:40:441:40:44,2012
45,45,MOINARD Amaël,BMC Racing Team,,25,1:41:001:41:00,2012
46,46,GILBERT Philippe,BMC Racing Team,,25,1:41:351:41:35,2012
47,47,NERZ Dominik,Liquigas - Cannondale,,25,1:42:121:42:12,2012
48,48,FÉDRIGO Pierrick,FDJ - BigMat,,25,1:42:391:42:39,2012
49,49,SCHÄR Michael,BMC Racing Team,,25,1:43:531:43:53,2012
50,50,PAULINHO Sérgio Miguel,Team Saxo Bank - Tinkoff Bank,,25,1:47:141:47:14,2012
51,51,TROFIMOV Yuri,Team Katusha ,,25,1:47:311:47:31,2012
52,52,VOIGT Jens,RadioShack - Nissan,,25,1:50:411:50:41,2012
53,53,KARPETS Vladimir,Movistar Team,,25,1:51:431:51:43,2012
54,54,JEANDESBOZ Fabrice,Saur - Sojasun,,25,1:52:281:52:28,2012
55,55,BOUET Maxime,AG2R La Mondiale,,25,1:52:301:52:30,2012
56,56,BOASSON HAGEN Edvald,Sky Procycling,,25,1:52:341:52:34,2012
57,57,HOOGERLAND Johnny,Vacansoleil - DCM,,25,1:55:301:55:30,2012
58,59,BURGHARDT Marcus,BMC Racing Team,,25,1:57:391:57:39,2012
59,58,MALACARNE Davide,Team Europcar,,25,1:57:451:57:45,2012
60,60,VANDE VELDE Christian,Garmin Sharp,,25,1:58:381:58:38,2012
61,61,GAUTIER Cyril,Team Europcar,,25,1:58:551:58:55,2012
62,62,CHEREL Mikaël,AG2R La Mondiale,,25,1:59:531:59:53,2012
63,63,FOFONOV Dmitriy,Astana Pro Team,,25,2:03:552:03:55,2012
64,64,SÁNCHEZ Luis León,Rabobank Cycling Team,,25,2:05:432:05:43,2012
65,65,MINARD Sébastien,AG2R La Mondiale,,25,2:06:322:06:32,2012
66,66,ROY Jérémy,FDJ - BigMat,,25,2:10:172:10:17,2012
67,67,MARCATO Marco,Vacansoleil - DCM,,25,2:11:362:11:36,2012
68,68,DEVENYNS Dries,Omega Pharma - Quick-Step,,25,2:12:222:12:22,2012
69,69,STORTONI Simone,Lampre - ISD,,25,2:13:392:13:39,2012
70,70,DE WEERT Kevin,Omega Pharma - Quick-Step,,25,2:13:492:13:49,2012
71,71,SZMYD Sylwester,Liquigas - Cannondale,,25,2:16:152:16:15,2012
72,72,WEENING Pieter,Orica GreenEDGE,,25,2:17:302:17:30,2012
73,73,RIBLON Christophe,AG2R La Mondiale,,25,2:17:312:17:31,2012
74,74,AZANZA Jorge,Euskaltel - Euskadi,,25,2:18:582:18:58,2012
75,75,LEVARLET Guillaume,Saur - Sojasun,,25,2:19:432:19:43,2012
76,76,POPOVYCH Yaroslav,RadioShack - Nissan,,25,2:21:562:21:56,2012
