Name,URL,Weight(kg),Height(m),YOB
SLAGTER Tom-Jelte,https://www.procyclingstats.com/rider/Tom-Jelte-SLAGTER,57,1.69,1989
PELLIZOTTI Franco,https://www.procyclingstats.com/rider/Franco-PELLIZOTTI,64,1.75,1978
KOCHETKOV Pavel,https://www.procyclingstats.com/rider/Pavel-KOCHETKOV,70,1.84,1986
MINNAARD Marco,https://www.procyclingstats.com/rider/Marco-MINNAARD,65,1.78,1989
ATAPUMA Darwin,https://www.procyclingstats.com/rider/Darwin-ATAPUMA,59,1.68,1988
LUDVIGSSON Tobias,https://www.procyclingstats.com/rider/Tobias-LUDVIGSSON,76,1.94,1991
VERMOTE Julien,https://www.procyclingstats.com/rider/Julien-VERMOTE,71,1.79,1989
BOSWELL Ian,https://www.procyclingstats.com/rider/Ian-BOSWELL,70,1.85,1991
MARTENS Paul,https://www.procyclingstats.com/rider/Paul-MARTENS,69,1.78,1983
BOUDAT Thomas,https://www.procyclingstats.com/rider/Thomas-BOUDAT,67,1.75,1994
COUSIN Jérôme,https://www.procyclingstats.com/rider/Jérôme-COUSIN,74,1.8,1989
POLJAŃSKI Paweł,https://www.procyclingstats.com/rider/Paweł-POLJAŃSKI,63,1.82,1990
SMITH Dion,https://www.procyclingstats.com/rider/Dion-SMITH,67,1.79,1993
PICHON Laurent,https://www.procyclingstats.com/rider/Laurent-PICHON,69,1.78,1986
KOREN Kristijan,https://www.procyclingstats.com/rider/Kristijan-KOREN,72,1.83,1986
MARCZYŃSKI Tomasz,https://www.procyclingstats.com/rider/Tomasz-MARCZYŃSKI,70,1.8,1984
BENNATI Daniele,https://www.procyclingstats.com/rider/Daniele-BENNATI,71,1.83,1980
HARDY Romain,https://www.procyclingstats.com/rider/Romain-HARDY,62,1.72,1988
SUTHERLAND Rory,https://www.procyclingstats.com/rider/Rory-SUTHERLAND,75,1.88,1982
GERRANS Simon,https://www.procyclingstats.com/rider/Simon-GERRANS,62,1.69,1980
HAYMAN Mathew,https://www.procyclingstats.com/rider/Mathew-HAYMAN,78,1.9,1978
DEGENKOLB John,https://www.procyclingstats.com/rider/John-DEGENKOLB,82,1.79,1989
GOGL Michael,https://www.procyclingstats.com/rider/Michael-GOGL,70,1.86,1993
VANMARCKE Sep,https://www.procyclingstats.com/rider/Sep-VANMARCKE,77,1.89,1988
TERPSTRA Niki,https://www.procyclingstats.com/rider/Niki-TERPSTRA,75,1.9,1984
BODNAR Maciej,https://www.procyclingstats.com/rider/Maciej-BODNAR,77,1.86,1985
VAN KEIRSBULCK Guillaume,https://www.procyclingstats.com/rider/KEIRSBULCK-VAN,85,1.91,1991
HAUSSLER Heinrich,https://www.procyclingstats.com/rider/Heinrich-HAUSSLER,74,1.81,1984
LE GAC Olivier,https://www.procyclingstats.com/rider/GAC-LE,70,1.8,1993
CLAEYS Dimitri,https://www.procyclingstats.com/rider/Dimitri-CLAEYS,77,1.89,1987
DUPONT Timothy,https://www.procyclingstats.com/rider/Timothy-DUPONT,72,1.79,1987
TROIA Oliviero,https://www.procyclingstats.com/rider/Oliviero-TROIA,80,1.91,1994
SINKELDAM Ramon,https://www.procyclingstats.com/rider/Ramon-SINKELDAM,77,1.93,1989
PHINNEY Taylor,https://www.procyclingstats.com/rider/Taylor-PHINNEY,82,1.97,1990
ROOSEN Timo,https://www.procyclingstats.com/rider/Timo-ROOSEN,78,1.94,1993
FERRARI Roberto,https://www.procyclingstats.com/rider/Roberto-FERRARI,73,1.73,1983
GAUDIN Damien,https://www.procyclingstats.com/rider/Damien-GAUDIN,85,1.92,1986
DÉMARE Arnaud,https://www.procyclingstats.com/rider/Arnaud-DÉMARE,76,1.82,1991
THOMSON Jay Robert,https://www.procyclingstats.com/rider/Jay-THOMSON,75,1.85,1986
GUARNIERI Jacopo,https://www.procyclingstats.com/rider/Jacopo-GUARNIERI,80,1.9,1987
CRADDOCK Lawson,https://www.procyclingstats.com/rider/Lawson-CRADDOCK,69,1.78,1992
CONTADOR Alberto,https://www.procyclingstats.com/rider/Alberto-CONTADOR,61,1.76,1982
FEILLU Brice,https://www.procyclingstats.com/rider/Brice-FEILLU,69,1.9,1985
BETANCUR Carlos,https://www.procyclingstats.com/rider/Carlos-BETANCUR,60,1.67,1989
KIŠERLOVSKI Robert,https://www.procyclingstats.com/rider/Robert-KIŠERLOVSKI,72,1.8,1986
GASTAUER Ben,https://www.procyclingstats.com/rider/Ben-GASTAUER,73,1.9,1987
ULISSI Diego,https://www.procyclingstats.com/rider/Diego-ULISSI,63,1.75,1989
BROWN Nathan,https://www.procyclingstats.com/rider/Nathan-BROWN,65,1.83,1991
ZEITS Andrey,https://www.procyclingstats.com/rider/Andrey-ZEITS,73,1.89,1986
BRAJKOVIČ Janez,https://www.procyclingstats.com/rider/Janez-BRAJKOVIČ,60,1.75,1983
PANTANO Jarlinson,https://www.procyclingstats.com/rider/Jarlinson-PANTANO,61,1.73,1988
TALANSKY Andrew,https://www.procyclingstats.com/rider/Andrew-TALANSKY,63,1.75,1988
ZUBELDIA Haimar,https://www.procyclingstats.com/rider/Haimar-ZUBELDIA,68,1.79,1977
BRAMBILLA Gianluca,https://www.procyclingstats.com/rider/Gianluca-BRAMBILLA,57,1.7,1987
MATÉ Luis Ángel,https://www.procyclingstats.com/rider/Luis-MATÉ,68,1.78,1984
SEPÚLVEDA Eduardo,https://www.procyclingstats.com/rider/Eduardo-SEPÚLVEDA,57,1.73,1991
DOMONT Axel,https://www.procyclingstats.com/rider/Axel-DOMONT,65,1.79,1990
GRMAY Tsgabu,https://www.procyclingstats.com/rider/Tsgabu-GRMAY,63,1.75,1991
MACHADO Tiago,https://www.procyclingstats.com/rider/Tiago-MACHADO,63,1.78,1985
LAMMERTINK Maurits,https://www.procyclingstats.com/rider/Maurits-LAMMERTINK,61,1.69,1990
WYSS Danilo,https://www.procyclingstats.com/rider/Danilo-WYSS,65,1.76,1985
SWIFT Ben,https://www.procyclingstats.com/rider/Ben-SWIFT,69,1.79,1987
HOWSON Damien,https://www.procyclingstats.com/rider/Damien-HOWSON,68,1.88,1992
TULIK Angélo,https://www.procyclingstats.com/rider/Angélo-TULIK,64,1.76,1990
VOECKLER Thomas,https://www.procyclingstats.com/rider/Thomas-VOECKLER,71,1.74,1979
KOZHATAYEV Bakhtiyar,https://www.procyclingstats.com/rider/Bakhtiyar-KOZHATAYEV,62,1.72,1992
MCCARTHY Jay,https://www.procyclingstats.com/rider/Jay-MCCARTHY,63,1.74,1992
ALBASINI Michael,https://www.procyclingstats.com/rider/Michael-ALBASINI,65,1.72,1980
VANSPEYBROUCK Pieter,https://www.procyclingstats.com/rider/Pieter-VANSPEYBROUCK,76,1.86,1987
ŠTYBAR Zdeněk,https://www.procyclingstats.com/rider/Zdeněk-ŠTYBAR,68,1.83,1985
QUÉMÉNEUR Perrig,https://www.procyclingstats.com/rider/Perrig-QUÉMÉNEUR,67,1.81,1984
THWAITES Scott,https://www.procyclingstats.com/rider/Scott-THWAITES,69,1.78,1990
SÜTTERLIN Jasha,https://www.procyclingstats.com/rider/Jasha-SÜTTERLIN,78,1.84,1992
ARASHIRO Yukiya,https://www.procyclingstats.com/rider/Yukiya-ARASHIRO,64,1.7,1984
BONO Matteo,https://www.procyclingstats.com/rider/Matteo-BONO,60,1.71,1983
KIRYIENKA Vasil,https://www.procyclingstats.com/rider/Vasil-KIRYIENKA,69,1.82,1982
HANSEN Adam,https://www.procyclingstats.com/rider/Adam-HANSEN,75,1.86,1981
BEVIN Patrick,https://www.procyclingstats.com/rider/Patrick-BEVIN,75,1.8,1991
MORENO Javier,https://www.procyclingstats.com/rider/Javier-MORENO,63,1.81,1984
GRIVKO Andrey,https://www.procyclingstats.com/rider/Andrey-GRIVKO,70,1.81,1983
PETIT Adrien,https://www.procyclingstats.com/rider/Adrien-PETIT,80,1.88,1990
LEMOINE Cyril,https://www.procyclingstats.com/rider/Cyril-LEMOINE,73,1.82,1983
GÈNE Yohann,https://www.procyclingstats.com/rider/Yohann-GÈNE,67,1.75,1981
IRIZAR Markel,https://www.procyclingstats.com/rider/Markel-IRIZAR,73,1.82,1980
ROELANDTS Jürgen,https://www.procyclingstats.com/rider/Jürgen-ROELANDTS,78,1.84,1985
BOUHANNI Nacer,https://www.procyclingstats.com/rider/Nacer-BOUHANNI,65,1.75,1990
CURVERS Roy,https://www.procyclingstats.com/rider/Roy-CURVERS,73,1.88,1979
BOLE Grega,https://www.procyclingstats.com/rider/Grega-BOLE,69,1.77,1985
KNEES Christian,https://www.procyclingstats.com/rider/Christian-KNEES,81,1.94,1981
CIMOLAI Davide,https://www.procyclingstats.com/rider/Davide-CIMOLAI,70,1.82,1989
EISEL Bernhard,https://www.procyclingstats.com/rider/Bernhard-EISEL,74,1.83,1981
SABATINI Fabio,https://www.procyclingstats.com/rider/Fabio-SABATINI,74,1.87,1985
TIMMER Albert,https://www.procyclingstats.com/rider/Albert-TIMMER,77,1.86,1985
BOŽIČ Borut,https://www.procyclingstats.com/rider/Borut-BOŽIČ,70,1.78,1980
SÉNÉCHAL Florian,https://www.procyclingstats.com/rider/Florian-SÉNÉCHAL,77,1.79,1993
VENTER Jaco,https://www.procyclingstats.com/rider/Jaco-VENTER,70,1.89,1987
WAGNER Robert,https://www.procyclingstats.com/rider/Robert-WAGNER,75,1.86,1983
SELIG Rüdiger,https://www.procyclingstats.com/rider/Rüdiger-SELIG,80,1.88,1989
LEEZER Tom,https://www.procyclingstats.com/rider/Tom-LEEZER,76,1.85,1985
RODRÍGUEZ Joaquim,https://www.procyclingstats.com/rider/Joaquim-RODRÍGUEZ,58,1.69,1979
CLEMENT Stef,https://www.procyclingstats.com/rider/Stef-CLEMENT,66,1.81,1982
MORENO Daniel,https://www.procyclingstats.com/rider/Daniel-MORENO,59,1.73,1981
SCHLECK Fränk,https://www.procyclingstats.com/rider/Fränk-SCHLECK,65,1.86,1980
MORABITO Steve,https://www.procyclingstats.com/rider/Steve-MORABITO,74,1.86,1983
ROSA Diego,https://www.procyclingstats.com/rider/Diego-ROSA,65,1.78,1989
HUZARSKI Bartosz,https://www.procyclingstats.com/rider/Bartosz-HUZARSKI,69,1.83,1980
STETINA Peter,https://www.procyclingstats.com/rider/Peter-STETINA,63,1.8,1987
PREIDLER Georg,https://www.procyclingstats.com/rider/Georg-PREIDLER,68,1.9,1990
JEANDESBOZ Fabrice,https://www.procyclingstats.com/rider/Fabrice-JEANDESBOZ,69,1.79,1984
ELMIGER Martin,https://www.procyclingstats.com/rider/Martin-ELMIGER,73,1.82,1978
LOSADA Alberto,https://www.procyclingstats.com/rider/Alberto-LOSADA,69,1.8,1982
PLAZA Rubén,https://www.procyclingstats.com/rider/Rubén-PLAZA,77,1.91,1980
TIRALONGO Paolo,https://www.procyclingstats.com/rider/Paolo-TIRALONGO,63,1.78,1977
COPPEL Jérôme,https://www.procyclingstats.com/rider/Jérôme-COPPEL,64,1.78,1986
SØRENSEN Chris Anker,https://www.procyclingstats.com/rider/Chris-SØRENSEN,64,1.85,1984
TEKLEHAIMANOT Daniel,https://www.procyclingstats.com/rider/Daniel-TEKLEHAIMANOT,70,1.88,1988
JEANNESSON Arnold,https://www.procyclingstats.com/rider/Arnold-JEANNESSON,65,1.82,1986
BÁRTA Jan,https://www.procyclingstats.com/rider/Jan-BÁRTA,75,1.84,1984
LINDEMAN Bert-Jan,https://www.procyclingstats.com/rider/Bert-Jan-LINDEMAN,69,1.8,1989
ROY Jérémy,https://www.procyclingstats.com/rider/Jérémy-ROY,70,1.86,1983
VOß Paul,https://www.procyclingstats.com/rider/Paul-VOß,66,1.78,1986
PIBERNIK Luka,https://www.procyclingstats.com/rider/Luka-PIBERNIK,60,1.77,1993
DUCHESNE Antoine,https://www.procyclingstats.com/rider/Antoine-DUCHESNE,75,1.9,1991
BOOKWALTER Brent,https://www.procyclingstats.com/rider/Brent-BOOKWALTER,70,1.8,1984
RAST Grégory,https://www.procyclingstats.com/rider/Grégory-RAST,80,1.86,1980
BENEDETTI Cesare,https://www.procyclingstats.com/rider/Cesare-BENEDETTI,63,1.7,1987
VICIOSO Ángel,https://www.procyclingstats.com/rider/Ángel-VICIOSO,60,1.7,1977
DUMOULIN Samuel,https://www.procyclingstats.com/rider/Samuel-DUMOULIN,57,1.59,1980
HOWES Alex,https://www.procyclingstats.com/rider/Alex-HOWES,61,1.8,1988
NAVARDAUSKAS Ramūnas,https://www.procyclingstats.com/rider/Ramūnas-NAVARDAUSKAS,79,1.9,1988
WYNANTS Maarten,https://www.procyclingstats.com/rider/Maarten-WYNANTS,74,1.9,1982
KEISSE Iljo,https://www.procyclingstats.com/rider/Iljo-KEISSE,72,1.83,1982
ENGER Sondre Holst,https://www.procyclingstats.com/rider/Sondre-ENGER,69,1.71,1993
TOSATTO Matteo,https://www.procyclingstats.com/rider/Matteo-TOSATTO,74,1.81,1974
FONSECA Armindo,https://www.procyclingstats.com/rider/Armindo-FONSECA,56,1.68,1989
SCHILLINGER Andreas,https://www.procyclingstats.com/rider/Andreas-SCHILLINGER,72,1.88,1983
HENDERSON Gregory,https://www.procyclingstats.com/rider/Gregory-HENDERSON,75,1.87,1976
GATTO Oscar,https://www.procyclingstats.com/rider/Oscar-GATTO,67,1.74,1985
STANNARD Ian,https://www.procyclingstats.com/rider/Ian-STANNARD,83,1.91,1987
KITTEL Marcel,https://www.procyclingstats.com/rider/Marcel-KITTEL,82,1.88,1988
BREEN Vegard,https://www.procyclingstats.com/rider/Vegard-BREEN,74,1.87,1990
SIEBERG Marcel,https://www.procyclingstats.com/rider/Marcel-SIEBERG,80,1.98,1982
MCLAY Daniel,https://www.procyclingstats.com/rider/Daniel-MCLAY,72,1.85,1992
HOWARD Leigh,https://www.procyclingstats.com/rider/Leigh-HOWARD,72,1.79,1989
SÁNCHEZ Samuel,https://www.procyclingstats.com/rider/Samuel-SÁNCHEZ,65,1.75,1978
ROGERS Michael,https://www.procyclingstats.com/rider/Michael-ROGERS,74,1.85,1979
HESJEDAL Ryder,https://www.procyclingstats.com/rider/Ryder-HESJEDAL,73,1.87,1980
SCARPONI Michele,https://www.procyclingstats.com/rider/Michele-SCARPONI,62,1.74,1979
JANSE VAN RENSBURG Jacques,https://www.procyclingstats.com/rider/VAN-JANSE,63,1.75,1987
FÉDRIGO Pierrick,https://www.procyclingstats.com/rider/Pierrick-FÉDRIGO,66,1.72,1978
TANKINK Bram,https://www.procyclingstats.com/rider/Bram-TANKINK,71,1.81,1978
WYSS Marcel,https://www.procyclingstats.com/rider/Marcel-WYSS,63,1.77,1986
PERAUD Jean-Christophe,https://www.procyclingstats.com/rider/Jean-Christophe-PERAUD,62,1.72,1977
HERRADA José,https://www.procyclingstats.com/rider/José-HERRADA,65,1.75,1985
RIBLON Christophe,https://www.procyclingstats.com/rider/Christophe-RIBLON,65,1.8,1981
KÖNIG Leopold,https://www.procyclingstats.com/rider/Leopold-KÖNIG,62,1.78,1987
WESTRA Lieuwe,https://www.procyclingstats.com/rider/Lieuwe-WESTRA,74,1.85,1982
VALLS Rafael,https://www.procyclingstats.com/rider/Rafael-VALLS,64,1.79,1987
KUDUS Merhawi,https://www.procyclingstats.com/rider/Merhawi-KUDUS,58,1.73,1994
CARUSO Giampaolo,https://www.procyclingstats.com/rider/Giampaolo-CARUSO,60,1.73,1980
GOŁAŚ Michał,https://www.procyclingstats.com/rider/Michał-GOŁAŚ,65,1.8,1984
DENNIS Rohan,https://www.procyclingstats.com/rider/Rohan-DENNIS,72,1.82,1990
MALORI Adriano,https://www.procyclingstats.com/rider/Adriano-MALORI,68,1.82,1988
GENIEZ Alexandre,https://www.procyclingstats.com/rider/Alexandre-GENIEZ,68,1.84,1988
VAUGRENARD Benoît,https://www.procyclingstats.com/rider/Benoît-VAUGRENARD,72,1.85,1982
QUINZIATO Manuel,https://www.procyclingstats.com/rider/Manuel-QUINZIATO,74,1.85,1979
VAN EMDEN Jos,https://www.procyclingstats.com/rider/EMDEN-VAN,74,1.86,1985
SERPA José Rodolfo,https://www.procyclingstats.com/rider/José-SERPA,64,1.78,1979
ARREDONDO Julián David,https://www.procyclingstats.com/rider/Julián-ARREDONDO,58,1.64,1988
POZZATO Filippo,https://www.procyclingstats.com/rider/Filippo-POZZATO,73,1.83,1981
GÉRARD Arnaud,https://www.procyclingstats.com/rider/Arnaud-GÉRARD,70,1.84,1984
MENDES José,https://www.procyclingstats.com/rider/José-MENDES,64,1.81,1985
BRUN Frederic,https://www.procyclingstats.com/rider/Frederic-BRUN,73,1.89,1988
WEENING Pieter,https://www.procyclingstats.com/rider/Pieter-WEENING,68,1.86,1981
DEVOLDER Stijn,https://www.procyclingstats.com/rider/Stijn-DEVOLDER,72,1.82,1979
FARRAR Tyler,https://www.procyclingstats.com/rider/Tyler-FARRAR,73,1.83,1984
BRÄNDLE Matthias,https://www.procyclingstats.com/rider/Matthias-BRÄNDLE,80,1.9,1989
NAULEAU Bryan,https://www.procyclingstats.com/rider/Bryan-NAULEAU,67,1.81,1988
VANBILSEN Kenneth,https://www.procyclingstats.com/rider/Kenneth-VANBILSEN,73,1.84,1990
TUFT Svein,https://www.procyclingstats.com/rider/Svein-TUFT,77,1.75,1977
CHAVANEL Sébastien,https://www.procyclingstats.com/rider/Sébastien-CHAVANEL,77,1.83,1983
VAN DEN BROECK Jurgen,https://www.procyclingstats.com/rider/DEN-VAN,69,1.85,1983
TROFIMOV Yuri,https://www.procyclingstats.com/rider/Yuri-TROFIMOV,59,1.69,1984
HORNER Chris,https://www.procyclingstats.com/rider/Chris-HORNER,70,1.8,1971
GADRET John,https://www.procyclingstats.com/rider/John-GADRET,58,1.7,1979
VELITS Peter,https://www.procyclingstats.com/rider/Peter-VELITS,63,1.81,1985
VISCONTI Giovanni,https://www.procyclingstats.com/rider/Giovanni-VISCONTI,63,1.75,1983
PINEAU Jérôme,https://www.procyclingstats.com/rider/Jérôme-PINEAU,65,1.76,1980
GUILLOU Florian,https://www.procyclingstats.com/rider/Florian-GUILLOU,71,1.96,1982
MONTAGUTI Matteo,https://www.procyclingstats.com/rider/Matteo-MONTAGUTI,65,1.81,1984
VANSUMMEREN Johan,https://www.procyclingstats.com/rider/Johan-VANSUMMEREN,79,1.97,1981
KADRI Blel,https://www.procyclingstats.com/rider/Blel-KADRI,66,1.76,1986
PAULINHO Sérgio Miguel,https://www.procyclingstats.com/rider/Sérgio-PAULINHO,64,1.72,1980
BOOM Lars,https://www.procyclingstats.com/rider/Lars-BOOM,75,1.91,1985
BUSCHE Matthew,https://www.procyclingstats.com/rider/Matthew-BUSCHE,69,1.74,1985
MINARD Sébastien,https://www.procyclingstats.com/rider/Sébastien-MINARD,65,1.77,1982
SMUKULIS Gatis,https://www.procyclingstats.com/rider/Gatis-SMUKULIS,72,1.83,1987
PINEAU Cédric,https://www.procyclingstats.com/rider/Cédric-PINEAU,68,1.77,1985
LÓPEZ David,https://www.procyclingstats.com/rider/David-LÓPEZ,68,1.79,1981
PICHOT Alexandre,https://www.procyclingstats.com/rider/Alexandre-PICHOT,72,1.83,1983
VOIGT Jens,https://www.procyclingstats.com/rider/Jens-VOIGT,76,1.89,1971
INTXAUSTI Beñat,https://www.procyclingstats.com/rider/Beñat-INTXAUSTI,61,1.75,1986
BIDEAU Jean-Marc,https://www.procyclingstats.com/rider/Jean-Marc-BIDEAU,73,1.92,1984
MEIER Christian,https://www.procyclingstats.com/rider/Christian-MEIER,61,1.72,1985
IGLINSKIY Maxim,https://www.procyclingstats.com/rider/Maxim-IGLINSKIY,67,1.71,1981
PAOLINI Luca,https://www.procyclingstats.com/rider/Luca-PAOLINI,66,1.74,1977
RENSHAW Mark,https://www.procyclingstats.com/rider/Mark-RENSHAW,74,1.79,1982
DELAGE Mickaël,https://www.procyclingstats.com/rider/Mickaël-DELAGE,70,1.8,1985
VANOTTI Alessandro,https://www.procyclingstats.com/rider/Alessandro-VANOTTI,70,1.85,1980
PETACCHI Alessandro,https://www.procyclingstats.com/rider/Alessandro-PETACCHI,70,1.85,1974
FEILLU Romain,https://www.procyclingstats.com/rider/Romain-FEILLU,62,1.74,1984
DEMPSTER Zak,https://www.procyclingstats.com/rider/Zak-DEMPSTER,77,1.9,1987
JARRIER Benoît,https://www.procyclingstats.com/rider/Benoît-JARRIER,69,1.79,1989
PATE Danny,https://www.procyclingstats.com/rider/Danny-PATE,73,1.85,1979
VEELERS Tom,https://www.procyclingstats.com/rider/Tom-VEELERS,75,1.84,1984
ISAYCHEV Vladimir,https://www.procyclingstats.com/rider/Vladimir-ISAYCHEV,80,1.88,1986
MARINO Jean-Marc,https://www.procyclingstats.com/rider/Jean-Marc-MARINO,65,1.77,1983
JI Cheng,https://www.procyclingstats.com/rider/Cheng-JI,67,1.78,1987
SCHLECK Andy,https://www.procyclingstats.com/rider/Andy-SCHLECK,68,1.86,1985
ANTÓN Igor,https://www.procyclingstats.com/rider/Igor-ANTÓN,64,1.73,1983
KLÖDEN Andreas,https://www.procyclingstats.com/rider/Andreas-KLÖDEN,63,1.83,1975
DUPONT Hubert,https://www.procyclingstats.com/rider/Hubert-DUPONT,57,1.74,1980
DE CLERCQ Bart,https://www.procyclingstats.com/rider/CLERCQ-DE,67,1.83,1986
EVANS Cadel,https://www.procyclingstats.com/rider/Cadel-EVANS,64,1.74,1977
ASTARLOZA Mikel,https://www.procyclingstats.com/rider/Mikel-ASTARLOZA,72,1.85,1979
HERNÁNDEZ BLÁZQUEZ Jesús,https://www.procyclingstats.com/rider/BLÁZQUEZ-HERNÁNDEZ,58,1.69,1981
VORGANOV Eduard,https://www.procyclingstats.com/rider/Eduard-VORGANOV,65,1.77,1982
MALACARNE Davide,https://www.procyclingstats.com/rider/Davide-MALACARNE,63,1.71,1987
NORDHAUG Lars Petter,https://www.procyclingstats.com/rider/Lars-NORDHAUG,63,1.76,1984
MÉDEREL Maxime,https://www.procyclingstats.com/rider/Maxime-MÉDEREL,59,1.73,1980
DIDIER Laurent,https://www.procyclingstats.com/rider/Laurent-DIDIER,68,1.89,1984
CUNEGO Damiano,https://www.procyclingstats.com/rider/Damiano-CUNEGO,58,1.69,1981
NIEMIEC Przemysław,https://www.procyclingstats.com/rider/Przemysław-NIEMIEC,62,1.84,1980
DANIELSON Tom,https://www.procyclingstats.com/rider/Tom-DANIELSON,58.5,1.77,1978
LEVARLET Guillaume,https://www.procyclingstats.com/rider/Guillaume-LEVARLET,67,1.83,1985
MORI Manuele,https://www.procyclingstats.com/rider/Manuele-MORI,62,1.72,1980
KENNAUGH Peter,https://www.procyclingstats.com/rider/Peter-KENNAUGH,66,1.73,1986
OROZ Juan José,https://www.procyclingstats.com/rider/Juan-OROZ,71,1.87,1980
EL FARES Julien,https://www.procyclingstats.com/rider/FARES-EL,62,1.72,1985
LAGUTIN Sergey,https://www.procyclingstats.com/rider/Sergey-LAGUTIN,68,1.81,1981
GAVAZZI Francesco,https://www.procyclingstats.com/rider/Francesco-GAVAZZI,65,1.73,1984
SIUTSOU Kanstantsin,https://www.procyclingstats.com/rider/Kanstantsin-SIUTSOU,68,1.83,1982
FLECHA Juan Antonio,https://www.procyclingstats.com/rider/Juan-FLECHA,72,1.81,1977
MOSER Moreno,https://www.procyclingstats.com/rider/Moreno-MOSER,64,1.77,1990
GASPAROTTO Enrico,https://www.procyclingstats.com/rider/Enrico-GASPAROTTO,65,1.74,1982
HOOGERLAND Johnny,https://www.procyclingstats.com/rider/Johnny-HOOGERLAND,65,1.79,1983
BRUTT Pavel,https://www.procyclingstats.com/rider/Pavel-BRUTT,70,1.78,1982
MARANGONI Alan,https://www.procyclingstats.com/rider/Alan-MARANGONI,74,1.85,1984
MILLAR David,https://www.procyclingstats.com/rider/David-MILLAR,77,1.9,1977
GARCÍA Egoitz,https://www.procyclingstats.com/rider/Egoitz-GARCÍA,70,1.8,1986
VEILLEUX David,https://www.procyclingstats.com/rider/David-VEILLEUX,75,1.8,1987
FAVILLI Elia,https://www.procyclingstats.com/rider/Elia-FAVILLI,61,1.72,1989
MEYER Cameron,https://www.procyclingstats.com/rider/Cameron-MEYER,70,1.81,1988
FISCHER Murilo Antonio,https://www.procyclingstats.com/rider/Murilo-FISCHER,65,1.7,1979
PÉREZ Rubén,https://www.procyclingstats.com/rider/Rubén-PÉREZ,65,1.73,1981
KUSCHYNSKI Aleksandr,https://www.procyclingstats.com/rider/Aleksandr-KUSCHYNSKI,65,1.82,1979
FRÖHLINGER Johannes,https://www.procyclingstats.com/rider/Johannes-FRÖHLINGER,62,1.73,1985
HIVERT Jonathan,https://www.procyclingstats.com/rider/Jonathan-HIVERT,62,1.7,1985
GOSS Matthew,https://www.procyclingstats.com/rider/Matthew-GOSS,70,1.78,1986
STEEGMANS Gert,https://www.procyclingstats.com/rider/Gert-STEEGMANS,82,1.9,1980
LANCASTER Brett,https://www.procyclingstats.com/rider/Brett-LANCASTER,78,1.88,1979
VANDBORG Brian Bach,https://www.procyclingstats.com/rider/Brian-VANDBORG,75,1.87,1981
O'GRADY Stuart,https://www.procyclingstats.com/rider/Stuart-O'GRADY,73,1.76,1973
WILLEMS Frederik,https://www.procyclingstats.com/rider/Frederik-WILLEMS,67,1.82,1979
LOBATO Juan José,https://www.procyclingstats.com/rider/Juan-LOBATO,64,1.73,1988
MURAVYEV Dmitriy,https://www.procyclingstats.com/rider/Dmitriy-MURAVYEV,75,1.89,1979
BAZAYEV Assan,https://www.procyclingstats.com/rider/Assan-BAZAYEV,62,1.77,1981
WIGGINS Bradley,https://www.procyclingstats.com/rider/Bradley-WIGGINS,76,1.89,1980
MENCHOV Denis,https://www.procyclingstats.com/rider/Denis-MENCHOV,65,1.8,1978
MARTÍNEZ Egoi,https://www.procyclingstats.com/rider/Egoi-MARTÍNEZ,70,1.81,1978
CASAR Sandy,https://www.procyclingstats.com/rider/Sandy-CASAR,63,1.79,1979
BASSO Ivan,https://www.procyclingstats.com/rider/Ivan-BASSO,70,1.82,1977
VANENDERT Jelle,https://www.procyclingstats.com/rider/Jelle-VANENDERT,62,1.84,1985
COBO Juan José,https://www.procyclingstats.com/rider/Juan-COBO,62,1.75,1981
VINOKOUROV Alexandre,https://www.procyclingstats.com/rider/Alexandre-VINOKOUROV,68,1.77,1973
LEIPHEIMER Levi,https://www.procyclingstats.com/rider/Levi-LEIPHEIMER,62,1.7,1973
HINCAPIE George,https://www.procyclingstats.com/rider/George-HINCAPIE,83,1.91,1973
KESSIAKOFF Fredrik,https://www.procyclingstats.com/rider/Fredrik-KESSIAKOFF,61,1.75,1980
NERZ Dominik,https://www.procyclingstats.com/rider/Dominik-NERZ,67,1.8,1989
KARPETS Vladimir,https://www.procyclingstats.com/rider/Vladimir-KARPETS,79,1.9,1980
VANDE VELDE Christian,https://www.procyclingstats.com/rider/VELDE-VANDE,69,1.8,1976
FOFONOV Dmitriy,https://www.procyclingstats.com/rider/Dmitriy-FOFONOV,65,1.75,1976
STORTONI Simone,https://www.procyclingstats.com/rider/Simone-STORTONI,59,1.69,1985
DE WEERT Kevin,https://www.procyclingstats.com/rider/WEERT-DE,70,1.82,1982
SZMYD Sylwester,https://www.procyclingstats.com/rider/Sylwester-SZMYD,60,1.79,1978
AZANZA Jorge,https://www.procyclingstats.com/rider/Jorge-AZANZA,68,1.85,1982
POPOVYCH Yaroslav,https://www.procyclingstats.com/rider/Yaroslav-POPOVYCH,64,1.75,1980
KASHECHKIN Andrey,https://www.procyclingstats.com/rider/Andrey-KASHECHKIN,70,1.85,1980
MARZANO Marco,https://www.procyclingstats.com/rider/Marco-MARZANO,58,1.71,1980
KERN Christophe,https://www.procyclingstats.com/rider/Christophe-KERN,72,1.85,1981
HONDO Danilo,https://www.procyclingstats.com/rider/Danilo-HONDO,73,1.84,1974
VELITS Martin,https://www.procyclingstats.com/rider/Martin-VELITS,70,1.85,1985
