Name,URL,Weight(kg),Height(m),YOB
KWIATKOWSKI Michał,https://www.procyclingstats.com/rider/Michał-KWIATKOWSKI,68,1.76,1990
MCNULTY Brandon,https://www.procyclingstats.com/rider/Brandon-MCNULTY,69,1.83,1998
NAESEN Oliver,https://www.procyclingstats.com/rider/Oliver-NAESEN,72,1.84,1990
SKUJIŅŠ Toms,https://www.procyclingstats.com/rider/Toms-SKUJIŅŠ,70,1.78,1991
DE LA PARTE Víctor,https://www.procyclingstats.com/rider/LA-DE,64,1.81,1986
TURGIS Anthony,https://www.procyclingstats.com/rider/Anthony-TURGIS,70,1.78,1994
ARANBURU Alex,https://www.procyclingstats.com/rider/Alex-ARANBURU,63,1.78,1995
GODON Dorian,https://www.procyclingstats.com/rider/Dorian-GODON,73,1.9,1996
TEUNISSEN Mike,https://www.procyclingstats.com/rider/Mike-TEUNISSEN,73,1.84,1992
COSTA Rui,https://www.procyclingstats.com/rider/Rui-COSTA,69,1.83,1986
DOUBEY Fabien,https://www.procyclingstats.com/rider/Fabien-DOUBEY,62,1.74,1993
MATTHEWS Michael,https://www.procyclingstats.com/rider/Michael-MATTHEWS,72,1.78,1990
ZIMMERMANN Georg,https://www.procyclingstats.com/rider/Georg-ZIMMERMANN,70,1.81,1997
GAUTIER Cyril,https://www.procyclingstats.com/rider/Cyril-GAUTIER,65,1.69,1987
DE GENDT Thomas,https://www.procyclingstats.com/rider/GENDT-DE,73,1.79,1986
ARMIRAIL Bruno,https://www.procyclingstats.com/rider/Bruno-ARMIRAIL,74,1.9,1994
FERNÁNDEZ Rubén,https://www.procyclingstats.com/rider/Rubén-FERNÁNDEZ,60,1.77,1991
SWEENY Harry,https://www.procyclingstats.com/rider/Harry-SWEENY,75,1.86,1998
PEREZ Anthony,https://www.procyclingstats.com/rider/Anthony-PEREZ,70,1.9,1991
HERRADA Jesús,https://www.procyclingstats.com/rider/Jesús-HERRADA,70,1.83,1990
BARTHE Cyril,https://www.procyclingstats.com/rider/Cyril-BARTHE,67,1.84,1996
SWIFT Connor,https://www.procyclingstats.com/rider/Connor-SWIFT,75,1.9,1995
ARCAS Jorge,https://www.procyclingstats.com/rider/Jorge-ARCAS,68,1.87,1992
LAPORTE Christophe,https://www.procyclingstats.com/rider/Christophe-LAPORTE,76,1.89,1992
PÉRICHON Pierre-Luc,https://www.procyclingstats.com/rider/Pierre-Luc-PÉRICHON,69,1.82,1987
CHEVALIER Maxime,https://www.procyclingstats.com/rider/Maxime-CHEVALIER,60,1.78,1999
GARCÍA CORTINA Iván,https://www.procyclingstats.com/rider/CORTINA-GARCÍA,77,1.83,1995
RICKAERT Jonas,https://www.procyclingstats.com/rider/Jonas-RICKAERT,83.5,1.87,1994
WRIGHT Fred,https://www.procyclingstats.com/rider/Fred-WRIGHT,75,1.84,1999
VAN AVERMAET Greg,https://www.procyclingstats.com/rider/AVERMAET-VAN,74,1.81,1985
HIRSCHI Marc,https://www.procyclingstats.com/rider/Marc-HIRSCHI,61,1.74,1998
GILBERT Philippe,https://www.procyclingstats.com/rider/Philippe-GILBERT,75,1.78,1982
DURBRIDGE Luke,https://www.procyclingstats.com/rider/Luke-DURBRIDGE,78,1.87,1991
VERONA Carlos,https://www.procyclingstats.com/rider/Carlos-VERONA,68,1.86,1992
MEZGEC Luka,https://www.procyclingstats.com/rider/Luka-MEZGEC,72,1.83,1988
BISSEGGER Stefan,https://www.procyclingstats.com/rider/Stefan-BISSEGGER,78,1.78,1998
THEUNS Edward,https://www.procyclingstats.com/rider/Edward-THEUNS,72,1.83,1991
BOIVIN Guillaume,https://www.procyclingstats.com/rider/Guillaume-BOIVIN,78,1.8,1989
SBARAGLI Kristian,https://www.procyclingstats.com/rider/Kristian-SBARAGLI,70,1.75,1990
COSNEFROY Benoît,https://www.procyclingstats.com/rider/Benoît-COSNEFROY,64,1.79,1995
BALLERINI Davide,https://www.procyclingstats.com/rider/Davide-BALLERINI,77,1.83,1994
PHILIPSEN Jasper,https://www.procyclingstats.com/rider/Jasper-PHILIPSEN,69,1.76,1998
BJERG Mikkel,https://www.procyclingstats.com/rider/Mikkel-BJERG,78,1.91,1998
PEDERSEN Casper,https://www.procyclingstats.com/rider/Casper-PEDERSEN,74,1.86,1996
LAENGEN Vegard Stake,https://www.procyclingstats.com/rider/Vegard-LAENGEN,79,1.95,1989
GRUZDEV Dmitriy,https://www.procyclingstats.com/rider/Dmitriy-GRUZDEV,78,1.85,1986
JUUL-JENSEN Christopher,https://www.procyclingstats.com/rider/Christopher-JUUL-JENSEN,73,1.83,1989
OSS Daniel,https://www.procyclingstats.com/rider/Daniel-OSS,75,1.9,1987
PÖSTLBERGER Lukas,https://www.procyclingstats.com/rider/Lukas-PÖSTLBERGER,70,1.82,1992
VAN POPPEL Boy,https://www.procyclingstats.com/rider/POPPEL-VAN,78,1.86,1988
VAKOČ Petr,https://www.procyclingstats.com/rider/Petr-VAKOČ,68,1.8,1992
SCHELLING Ide,https://www.procyclingstats.com/rider/Ide-SCHELLING,66,1.82,1998
VAN POPPEL Danny,https://www.procyclingstats.com/rider/POPPEL-VAN,82,1.84,1993
WALSCHEID Max,https://www.procyclingstats.com/rider/Max-WALSCHEID,90,1.99,1993
GOLDSTEIN Omer,https://www.procyclingstats.com/rider/Omer-GOLDSTEIN,61,1.74,1996
CLARKE Simon,https://www.procyclingstats.com/rider/Simon-CLARKE,63,1.75,1986
BARBERO Carlos,https://www.procyclingstats.com/rider/Carlos-BARBERO,66,1.78,1991
GREIPEL André,https://www.procyclingstats.com/rider/André-GREIPEL,80,1.84,1982
EEKHOFF Nils,https://www.procyclingstats.com/rider/Nils-EEKHOFF,75,1.91,1998
HALLER Marco,https://www.procyclingstats.com/rider/Marco-HALLER,72,1.78,1991
NIEUWENHUIS Joris,https://www.procyclingstats.com/rider/Joris-NIEUWENHUIS,71,1.85,1996
SIMON Julien,https://www.procyclingstats.com/rider/Julien-SIMON,65,1.76,1985
BENNETT Sean,https://www.procyclingstats.com/rider/Sean-BENNETT,66,1.78,1996
WALLAYS Jelle,https://www.procyclingstats.com/rider/Jelle-WALLAYS,77,1.85,1989
CABOT Jérémy,https://www.procyclingstats.com/rider/Jérémy-CABOT,76,1.92,1991
FROOME Chris,https://www.procyclingstats.com/rider/Chris-FROOME,66,1.86,1985
ZABEL Rick,https://www.procyclingstats.com/rider/Rick-ZABEL,75,1.84,1993
DEVENYNS Dries,https://www.procyclingstats.com/rider/Dries-DEVENYNS,65,1.77,1983
HOLLENSTEIN Reto,https://www.procyclingstats.com/rider/Reto-HOLLENSTEIN,80,1.97,1985
PEDERSEN Mads,https://www.procyclingstats.com/rider/Mads-PEDERSEN,70,1.79,1995
MØRKØV Michael,https://www.procyclingstats.com/rider/Michael-MØRKØV,71,1.83,1985
CAVENDISH Mark,https://www.procyclingstats.com/rider/Mark-CAVENDISH,70,1.75,1985
BOL Cees,https://www.procyclingstats.com/rider/Cees-BOL,83,1.94,1995
DECLERCQ Tim,https://www.procyclingstats.com/rider/Tim-DECLERCQ,78,1.9,1989
ROGLIČ Primož,https://www.procyclingstats.com/rider/Primož-ROGLIČ,65,1.77,1989
LANDA Mikel,https://www.procyclingstats.com/rider/Mikel-LANDA,60,1.73,1989
LÓPEZ Miguel Ángel,https://www.procyclingstats.com/rider/Miguel-LÓPEZ,59,1.64,1994
DUMOULIN Tom,https://www.procyclingstats.com/rider/Tom-DUMOULIN,69,1.85,1990
YATES Adam,https://www.procyclingstats.com/rider/Adam-YATES,58,1.73,1992
CARUSO Damiano,https://www.procyclingstats.com/rider/Damiano-CARUSO,67,1.79,1987
BARGUIL Warren,https://www.procyclingstats.com/rider/Warren-BARGUIL,61,1.82,1991
SOLER Marc,https://www.procyclingstats.com/rider/Marc-SOLER,68,1.86,1993
IZAGIRRE Gorka,https://www.procyclingstats.com/rider/Gorka-IZAGIRRE,66,1.76,1987
REICHENBACH Sébastien,https://www.procyclingstats.com/rider/Sébastien-REICHENBACH,64,1.78,1989
CHEREL Mikaël,https://www.procyclingstats.com/rider/Mikaël-CHEREL,65,1.83,1986
MARTÍNEZ Daniel Felipe,https://www.procyclingstats.com/rider/Daniel-MARTÍNEZ,63,1.72,1996
PINOT Thibaut,https://www.procyclingstats.com/rider/Thibaut-PINOT,63,1.8,1990
SICARD Romain,https://www.procyclingstats.com/rider/Romain-SICARD,63,1.79,1988
SÁNCHEZ Luis León,https://www.procyclingstats.com/rider/Luis-SÁNCHEZ,73,1.86,1983
KÄMNA Lennard,https://www.procyclingstats.com/rider/Lennard-KÄMNA,65,1.81,1996
BENNETT George,https://www.procyclingstats.com/rider/George-BENNETT,58,1.8,1990
VUILLERMOZ Alexis,https://www.procyclingstats.com/rider/Alexis-VUILLERMOZ,60,1.74,1988
CARTHY Hugh,https://www.procyclingstats.com/rider/Hugh-CARTHY,69,1.93,1994
MOLARD Rudy,https://www.procyclingstats.com/rider/Rudy-MOLARD,62,1.78,1989
POLANC Jan,https://www.procyclingstats.com/rider/Jan-POLANC,62,1.72,1992
GESINK Robert,https://www.procyclingstats.com/rider/Robert-GESINK,70,1.89,1986
JUNGELS Bob,https://www.procyclingstats.com/rider/Bob-JUNGELS,70,1.89,1992
TEJADA Harold,https://www.procyclingstats.com/rider/Harold-TEJADA,63,1.8,1997
EDET Nicolas,https://www.procyclingstats.com/rider/Nicolas-EDET,60,1.76,1987
EG Niklas,https://www.procyclingstats.com/rider/Niklas-EG,60,1.83,1995
OLIVEIRA Nelson,https://www.procyclingstats.com/rider/Nelson-OLIVEIRA,67,1.8,1989
SCHACHMANN Maximilian,https://www.procyclingstats.com/rider/Maximilian-SCHACHMANN,70,1.83,1994
KRAGH ANDERSEN Søren,https://www.procyclingstats.com/rider/ANDERSEN-KRAGH,73,1.78,1994
BETTIOL Alberto,https://www.procyclingstats.com/rider/Alberto-BETTIOL,69,1.8,1993
GROßSCHARTNER Felix,https://www.procyclingstats.com/rider/Felix-GROßSCHARTNER,64,1.84,1993
ROCHE Nicolas,https://www.procyclingstats.com/rider/Nicolas-ROCHE,70,1.78,1984
PETERS Nans,https://www.procyclingstats.com/rider/Nans-PETERS,70,1.77,1994
ANACONA Winner,https://www.procyclingstats.com/rider/Winner-ANACONA,65,1.79,1988
HIRT Jan,https://www.procyclingstats.com/rider/Jan-HIRT,62,1.81,1991
HERMANS Ben,https://www.procyclingstats.com/rider/Ben-HERMANS,72,1.86,1986
ROJAS José Joaquín,https://www.procyclingstats.com/rider/José-ROJAS,70,1.77,1985
DE LA CRUZ David,https://www.procyclingstats.com/rider/LA-DE,66,1.82,1989
BENOOT Tiesj,https://www.procyclingstats.com/rider/Tiesj-BENOOT,72,1.9,1994
AMADOR Andrey,https://www.procyclingstats.com/rider/Andrey-AMADOR,73,1.81,1986
TRENTIN Matteo,https://www.procyclingstats.com/rider/Matteo-TRENTIN,74,1.79,1989
